student_id,item_id,review_index,days_since_last_review,prior_review_count,prior_success_rate,item_difficulty,student_ability,memory_strength_true,recalled
0,24,0,1.63,0,0.626,1.509,1.124,1.252,1
0,24,1,2.84,1,0.68,1.509,1.124,1.359,0
0,24,2,0.85,2,0.34,1.509,1.124,0.68,0
0,24,3,0.78,3,0.17,1.509,1.124,0.34,0
0,24,4,0.41,4,0.15,1.509,1.124,0.3,0
0,24,5,0.33,5,0.15,1.509,1.124,0.3,0
0,24,6,0.72,6,0.15,1.509,1.124,0.3,0
0,25,0,1.68,0,0.704,0.855,1.124,1.408,0
0,25,1,0.7,1,0.352,0.855,1.124,0.704,0
0,25,2,0.88,2,0.176,0.855,1.124,0.352,1
0,25,3,0.6,3,0.337,0.855,1.124,0.674,1
0,25,4,0.41,4,0.645,0.855,1.124,1.29,1
0,26,0,0.96,0,0.731,1.375,1.124,1.462,1
0,26,1,1.22,1,0.87,1.375,1.124,1.741,0
0,26,2,0.79,2,0.435,1.375,1.124,0.87,1
0,26,3,0.33,3,0.518,1.375,1.124,1.036,1
0,26,4,0.46,4,0.617,1.375,1.124,1.234,1
0,26,5,0.66,5,0.735,1.375,1.124,1.469,0
0,26,6,1.94,6,0.367,1.375,1.124,0.735,0
0,27,0,0.44,0,0.303,1.092,1.124,0.607,1
0,27,1,0.86,1,0.455,1.092,1.124,0.91,1
0,27,2,3.8,2,0.682,1.092,1.124,1.365,0
0,27,3,0.85,3,0.341,1.092,1.124,0.682,1
0,27,4,2.03,4,0.512,1.092,1.124,1.023,0
0,28,0,0.47,0,0.683,1.899,1.124,1.366,1
0,28,1,1.54,1,0.589,1.899,1.124,1.178,0
0,28,2,0.87,2,0.294,1.899,1.124,0.589,0
0,28,3,0.67,3,0.15,1.899,1.124,0.3,1
0,28,4,0.33,4,0.129,1.899,1.124,0.259,1
0,29,0,7.12,0,0.596,0.613,1.124,1.192,0
0,29,1,1.51,1,0.298,0.613,1.124,0.596,0
0,29,2,0.36,2,0.15,0.613,1.124,0.3,0
0,29,3,0.5,3,0.15,0.613,1.124,0.3,0
0,29,4,0.53,4,0.15,0.613,1.124,0.3,0
0,30,0,1.57,0,0.51,1.507,1.124,1.02,1
0,30,1,1.61,1,0.554,1.507,1.124,1.108,0
0,30,2,0.51,2,0.277,1.507,1.124,0.554,0
0,30,3,0.51,3,0.15,1.507,1.124,0.3,0
0,30,4,0.51,4,0.15,1.507,1.124,0.3,0
0,30,5,0.32,5,0.15,1.507,1.124,0.3,0
0,31,0,1.41,0,0.399,1.866,1.124,0.798,0
0,31,1,0.34,1,0.199,1.866,1.124,0.399,1
0,32,0,0.74,0,0.74,1.189,1.124,1.48,1
0,32,1,1.54,1,1.0,1.189,1.124,2.039,1
0,32,2,2.03,2,1.0,1.189,1.124,2.808,0
0,32,3,1.48,3,0.702,1.189,1.124,1.404,0
0,32,4,1.32,4,0.351,1.189,1.124,0.702,0
0,33,0,0.33,0,0.551,1.96,1.124,1.102,1
0,33,1,0.36,1,0.46,1.96,1.124,0.921,1
0,33,2,0.63,2,0.385,1.96,1.124,0.769,0
0,34,0,0.55,0,0.27,1.536,1.124,0.539,0
0,35,0,0.33,0,0.328,1.267,1.124,0.657,0
0,35,1,0.35,1,0.164,1.267,1.124,0.328,1
0,35,2,0.44,2,0.212,1.267,1.124,0.424,1
0,35,3,0.54,3,0.274,1.267,1.124,0.548,0
0,35,4,0.31,4,0.15,1.267,1.124,0.3,0
0,35,5,0.45,5,0.15,1.267,1.124,0.3,0
0,35,6,0.32,6,0.15,1.267,1.124,0.3,1
0,35,7,0.39,7,0.194,1.267,1.124,0.388,0
0,36,0,0.35,0,0.411,0.53,1.124,0.822,1
0,36,1,1.44,1,1.0,0.53,1.124,2.539,1
0,36,2,6.04,2,1.0,0.53,1.124,7.842,0
0,36,3,2.54,3,1.0,0.53,1.124,3.921,0
0,36,4,1.44,4,0.98,0.53,1.124,1.96,0
0,36,5,0.94,5,0.49,0.53,1.124,0.98,1
0,36,6,1.76,6,1.0,0.53,1.124,3.027,1
0,37,0,0.41,0,0.433,0.838,1.124,0.865,1
0,37,1,0.7,1,0.845,0.838,1.124,1.691,1
0,37,2,9.64,2,1.0,0.838,1.124,3.303,0
0,37,3,0.89,3,0.826,0.838,1.124,1.652,1
0,37,4,2.79,4,1.0,0.838,1.124,3.227,0
0,37,5,1.22,5,0.807,0.838,1.124,1.613,0
0,37,6,0.42,6,0.403,0.838,1.124,0.807,1
0,37,7,0.91,7,0.788,0.838,1.124,1.576,1
0,38,0,0.69,0,0.394,1.416,1.124,0.789,0
0,38,1,0.41,1,0.197,1.416,1.124,0.394,0
0,38,2,0.47,2,0.15,1.416,1.124,0.3,0
0,38,3,0.35,3,0.15,1.416,1.124,0.3,1
0,38,4,0.3,4,0.173,1.416,1.124,0.347,1
0,39,0,0.63,0,0.553,1.21,1.124,1.106,1
0,39,1,0.37,1,0.748,1.21,1.124,1.497,1
0,39,2,1.51,2,1.0,1.21,1.124,2.026,0
0,40,0,0.4,0,0.332,0.802,1.124,0.664,1
0,40,1,1.25,1,0.677,0.802,1.124,1.354,0
0,40,2,0.84,2,0.339,0.802,1.124,0.677,0
0,40,3,0.6,3,0.169,0.802,1.124,0.339,0
0,40,4,0.42,4,0.15,0.802,1.124,0.3,0
0,41,0,0.79,0,0.446,1.033,1.124,0.891,1
0,41,1,3.08,1,0.706,1.033,1.124,1.413,0
0,42,0,1.24,0,0.32,1.002,1.124,0.639,0
0,42,1,1.66,1,0.16,1.002,1.124,0.32,0
0,42,2,0.56,2,0.15,1.002,1.124,0.3,0
0,42,3,0.56,3,0.15,1.002,1.124,0.3,0
0,42,4,0.6,4,0.15,1.002,1.124,0.3,0
0,42,5,0.43,5,0.15,1.002,1.124,0.3,0
0,42,6,0.45,6,0.15,1.002,1.124,0.3,0
0,43,0,0.72,0,0.256,1.658,1.124,0.512,0
0,43,1,0.36,1,0.15,1.658,1.124,0.3,0
0,43,2,0.48,2,0.15,1.658,1.124,0.3,0
0,44,0,2.76,0,0.724,1.193,1.124,1.447,0
0,44,1,0.35,1,0.362,1.193,1.124,0.724,0
0,44,2,0.7,2,0.181,1.193,1.124,0.362,1
0,44,3,0.33,3,0.248,1.193,1.124,0.497,1
0,45,0,0.42,0,0.705,1.761,1.124,1.411,1
0,46,0,0.39,0,0.277,1.099,1.124,0.555,0
0,47,0,0.63,0,0.307,1.406,1.124,0.614,0
0,47,1,0.59,1,0.154,1.406,1.124,0.307,0
0,47,2,0.35,2,0.15,1.406,1.124,0.3,1
0,47,3,0.47,3,0.175,1.406,1.124,0.349,0
0,48,0,0.5,0,0.431,1.872,1.124,0.862,0
0,48,1,1.42,1,0.216,1.872,1.124,0.431,0
0,48,2,0.47,2,0.15,1.872,1.124,0.3,1
0,48,3,0.37,3,0.131,1.872,1.124,0.262,1
0,48,4,0.38,4,0.115,1.872,1.124,0.229,0
0,48,5,0.43,5,0.15,1.872,1.124,0.3,0
0,48,6,0.4,6,0.15,1.872,1.124,0.3,0
0,49,0,0.72,0,0.514,1.571,1.124,1.028,1
0,49,1,0.91,1,0.535,1.571,1.124,1.071,0
0,49,2,1.39,2,0.268,1.571,1.124,0.535,0
0,49,3,0.37,3,0.15,1.571,1.124,0.3,1
0,49,4,0.34,4,0.156,1.571,1.124,0.313,0
0,49,5,0.53,5,0.15,1.571,1.124,0.3,1
0,50,0,2.29,0,0.65,0.656,1.124,1.3,0
0,50,1,0.88,1,0.325,0.656,1.124,0.65,0
0,50,2,0.96,2,0.162,0.656,1.124,0.325,0
0,51,0,0.31,0,0.412,1.11,1.124,0.824,0
0,51,1,0.79,1,0.206,1.11,1.124,0.412,0
0,52,0,0.32,0,0.44,0.889,1.124,0.88,0
0,52,1,0.44,1,0.22,0.889,1.124,0.44,0
0,52,2,0.35,2,0.15,0.889,1.124,0.3,0
0,52,3,0.43,3,0.15,0.889,1.124,0.3,0
0,52,4,0.44,4,0.15,0.889,1.124,0.3,0
0,52,5,0.41,5,0.15,0.889,1.124,0.3,1
0,52,6,0.7,6,0.276,0.889,1.124,0.552,0
0,53,0,2.33,0,0.592,1.537,1.124,1.183,1
0,53,1,1.06,1,0.63,1.537,1.124,1.26,0
0,53,2,1.08,2,0.315,1.537,1.124,0.63,0
0,53,3,0.3,3,0.158,1.537,1.124,0.315,0
0,53,4,0.53,4,0.15,1.537,1.124,0.3,1
0,53,5,0.85,5,0.16,1.537,1.124,0.32,0
0,54,0,0.4,0,0.333,0.57,1.124,0.666,1
0,54,1,2.27,1,0.956,0.57,1.124,1.912,0
0,54,2,0.93,2,0.478,0.57,1.124,0.956,0
0,55,0,1.64,0,0.727,1.095,1.124,1.454,1
0,55,1,1.34,1,1.0,1.095,1.124,2.174,0
0,55,2,0.61,2,0.544,1.095,1.124,1.087,1
0,55,3,1.78,3,0.813,1.095,1.124,1.625,0
0,55,4,0.96,4,0.406,1.095,1.124,0.813,0
0,55,5,0.76,5,0.203,1.095,1.124,0.406,0
0,56,0,0.59,0,0.545,0.908,1.124,1.09,1
0,56,1,0.42,1,0.983,0.908,1.124,1.965,0
0,56,2,1.28,2,0.491,0.908,1.124,0.983,0
0,57,0,1.0,0,0.74,1.456,1.124,1.481,1
0,57,1,5.42,1,0.833,1.456,1.124,1.665,0
0,58,0,0.43,0,0.708,1.352,1.124,1.415,1
0,58,1,0.56,1,0.857,1.352,1.124,1.714,0
0,58,2,1.12,2,0.429,1.352,1.124,0.857,1
0,58,3,0.74,3,0.519,1.352,1.124,1.038,1
0,58,4,0.7,4,0.629,1.352,1.124,1.257,1
0,58,5,1.0,5,0.761,1.352,1.124,1.522,1
0,59,0,0.88,0,0.536,1.107,1.124,1.072,0
0,59,1,0.44,1,0.268,1.107,1.124,0.536,0
0,59,2,0.36,2,0.15,1.107,1.124,0.3,1
0,59,3,0.93,3,0.222,1.107,1.124,0.444,0
0,59,4,1.6,4,0.15,1.107,1.124,0.3,0
0,59,5,0.61,5,0.15,1.107,1.124,0.3,0
0,59,6,0.73,6,0.15,1.107,1.124,0.3,0
0,59,7,0.61,7,0.15,1.107,1.124,0.3,0
1,0,0,0.45,0,0.305,0.858,0.56,0.61,0
1,0,1,0.37,1,0.153,0.858,0.56,0.305,0
1,0,2,0.31,2,0.15,0.858,0.56,0.3,1
1,0,3,1.43,3,0.257,0.858,0.56,0.513,0
1,0,4,0.36,4,0.15,0.858,0.56,0.3,0
1,0,5,0.49,5,0.15,0.858,0.56,0.3,0
1,1,0,0.53,0,0.622,1.984,0.56,1.243,1
1,1,1,0.76,1,0.46,1.984,0.56,0.92,1
1,1,2,0.39,2,0.34,1.984,0.56,0.681,0
1,1,3,0.4,3,0.17,1.984,0.56,0.34,1
1,2,0,1.18,0,0.692,1.954,0.56,1.384,0
1,2,1,0.63,1,0.346,1.954,0.56,0.692,0
1,2,2,0.85,2,0.173,1.954,0.56,0.346,0
1,3,0,0.39,0,0.697,0.552,0.56,1.395,0
1,3,1,0.45,1,0.349,0.552,0.56,0.697,1
1,3,2,0.42,2,0.927,0.552,0.56,1.854,1
1,3,3,1.91,3,1.0,0.552,0.56,4.928,1
1,3,4,1.08,4,1.0,0.552,0.56,13.1,1
1,4,0,0.33,0,0.288,1.525,0.56,0.576,0
1,5,0,0.98,0,0.581,1.357,0.56,1.162,1
1,5,1,2.16,1,0.629,1.357,0.56,1.257,0
1,5,2,1.19,2,0.314,1.357,0.56,0.629,0
1,5,3,0.7,3,0.157,1.357,0.56,0.314,0
1,5,4,0.59,4,0.15,1.357,0.56,0.3,1
1,5,5,0.78,5,0.162,1.357,0.56,0.325,0
1,5,6,0.59,6,0.15,1.357,0.56,0.3,0
1,5,7,0.66,7,0.15,1.357,0.56,0.3,1
1,6,0,0.94,0,0.558,0.931,0.56,1.117,1
1,7,0,0.84,0,0.255,1.065,0.56,0.509,0
1,7,1,0.99,1,0.15,1.065,0.56,0.3,0
1,7,2,0.51,2,0.15,1.065,0.56,0.3,1
1,7,3,0.4,3,0.207,1.065,0.56,0.414,0
1,7,4,0.31,4,0.15,1.065,0.56,0.3,0
1,8,0,1.38,0,0.686,0.569,0.56,1.372,0
1,8,1,0.8,1,0.343,0.569,0.56,0.686,1
1,8,2,2.44,2,0.885,0.569,0.56,1.771,0
1,8,3,1.36,3,0.443,0.569,0.56,0.885,0
1,8,4,0.33,4,0.221,0.569,0.56,0.443,0
1,8,5,0.46,5,0.15,0.569,0.56,0.3,0
1,8,6,0.61,6,0.15,0.569,0.56,0.3,0
1,8,7,0.33,7,0.15,0.569,0.56,0.3,0
1,9,0,0.33,0,0.623,1.587,0.56,1.246,1
1,9,1,0.67,1,0.576,1.587,0.56,1.153,0
1,9,2,0.38,2,0.288,1.587,0.56,0.576,0
1,10,0,0.97,0,0.635,1.665,0.56,1.271,0
1,10,1,0.39,1,0.318,1.665,0.56,0.635,1
1,10,2,0.3,2,0.28,1.665,0.56,0.56,1
1,10,3,0.58,3,0.247,1.665,0.56,0.494,1
1,10,4,0.35,4,0.218,1.665,0.56,0.436,0
1,10,5,0.42,5,0.15,1.665,0.56,0.3,0
1,11,0,0.64,0,0.482,0.724,0.56,0.965,1
1,11,1,1.92,1,0.977,0.724,0.56,1.955,0
1,11,2,1.34,2,0.489,0.724,0.56,0.977,1
1,11,3,0.68,3,0.991,0.724,0.56,1.981,0
1,11,4,0.41,4,0.495,0.724,0.56,0.991,1
1,11,5,1.45,5,1.0,0.724,0.56,2.008,1
1,12,0,1.83,0,0.509,0.99,0.56,1.018,0
1,13,0,0.49,0,0.597,0.801,0.56,1.193,1
1,13,1,0.47,1,1.0,0.801,0.56,2.186,1
1,13,2,8.02,2,1.0,0.801,0.56,4.005,1
1,13,3,4.3,3,1.0,0.801,0.56,7.339,0
1,13,4,4.46,4,1.0,0.801,0.56,3.669,0
1,13,5,2.47,5,0.917,0.801,0.56,1.835,0
1,13,6,0.96,6,0.459,0.801,0.56,0.917,0
1,14,0,0.67,0,0.291,1.597,0.56,0.582,0
1,14,1,0.38,1,0.15,1.597,0.56,0.3,0
1,14,2,0.59,2,0.15,1.597,0.56,0.3,1
1,14,3,0.33,3,0.138,1.597,0.56,0.276,1
1,14,4,0.49,4,0.127,1.597,0.56,0.253,0
1,14,5,0.32,5,0.15,1.597,0.56,0.3,0
1,15,0,0.49,0,0.459,0.831,0.56,0.918,0
1,15,1,0.74,1,0.23,0.831,0.56,0.459,0
1,15,2,0.39,2,0.15,0.831,0.56,0.3,0
1,15,3,0.44,3,0.15,0.831,0.56,0.3,0
1,15,4,0.79,4,0.15,0.831,0.56,0.3,0
1,15,5,0.81,5,0.15,0.831,0.56,0.3,0
1,15,6,0.5,6,0.15,0.831,0.56,0.3,1
1,16,0,1.29,0,0.705,1.574,0.56,1.409,1
1,16,1,0.96,1,0.657,1.574,0.56,1.314,0
1,16,2,0.35,2,0.329,1.574,0.56,0.657,1
1,16,3,0.69,3,0.307,1.574,0.56,0.613,1
1,16,4,0.72,4,0.286,1.574,0.56,0.572,1
1,16,5,0.49,5,0.267,1.574,0.56,0.534,1
1,16,6,0.39,6,0.249,1.574,0.56,0.498,1
1,17,0,0.78,0,0.471,1.826,0.56,0.942,1
1,17,1,0.45,1,0.379,1.826,0.56,0.758,0
1,17,2,0.63,2,0.189,1.826,0.56,0.379,1
1,17,3,0.58,3,0.152,1.826,0.56,0.305,0
1,17,4,0.44,4,0.15,1.826,0.56,0.3,0
1,17,5,0.73,5,0.15,1.826,0.56,0.3,0
1,17,6,0.32,6,0.15,1.826,0.56,0.3,0
1,17,7,0.88,7,0.15,1.826,0.56,0.3,1
1,18,0,0.36,0,0.476,0.683,0.56,0.952,1
1,18,1,1.03,1,1.0,0.683,0.56,2.046,1
1,18,2,3.87,2,1.0,0.683,0.56,4.397,1
1,18,3,5.18,3,1.0,0.683,0.56,9.45,1
1,18,4,11.1,4,1.0,0.683,0.56,20.307,1
1,19,0,1.23,0,0.328,1.596,0.56,0.656,1
1,19,1,0.8,1,0.302,1.596,0.56,0.603,0
1,19,2,0.73,2,0.151,1.596,0.56,0.302,0
1,19,3,0.31,3,0.15,1.596,0.56,0.3,0
1,19,4,0.35,4,0.15,1.596,0.56,0.3,0
1,19,5,0.41,5,0.15,1.596,0.56,0.3,0
1,20,0,1.07,0,0.274,1.999,0.56,0.548,0
1,21,0,0.85,0,0.295,1.629,0.56,0.59,0
1,21,1,0.53,1,0.15,1.629,0.56,0.3,0
1,21,2,0.6,2,0.15,1.629,0.56,0.3,0
1,21,3,0.33,3,0.15,1.629,0.56,0.3,0
1,21,4,0.3,4,0.15,1.629,0.56,0.3,0
1,21,5,0.55,5,0.15,1.629,0.56,0.3,0
1,21,6,0.43,6,0.15,1.629,0.56,0.3,0
1,22,0,1.09,0,0.552,0.61,0.56,1.103,0
1,22,1,0.57,1,0.276,0.61,0.56,0.552,0
1,22,2,0.82,2,0.15,0.61,0.56,0.3,0
1,22,3,0.32,3,0.15,0.61,0.56,0.3,1
1,22,4,0.63,4,0.361,0.61,0.56,0.722,0
1,22,5,0.5,5,0.181,0.61,0.56,0.361,0
1,23,0,0.98,0,0.465,1.734,0.56,0.931,0
1,23,1,0.39,1,0.233,1.734,0.56,0.465,1
1,23,2,0.48,2,0.197,1.734,0.56,0.394,1
1,23,3,0.38,3,0.167,1.734,0.56,0.334,0
1,23,4,0.38,4,0.15,1.734,0.56,0.3,0
1,23,5,0.56,5,0.15,1.734,0.56,0.3,0
1,23,6,0.34,6,0.15,1.734,0.56,0.3,0
1,23,7,0.34,7,0.15,1.734,0.56,0.3,1
1,24,0,0.59,0,0.378,1.351,0.56,0.757,1
1,24,1,1.27,1,0.411,1.351,0.56,0.822,1
1,24,2,0.3,2,0.447,1.351,0.56,0.893,0
1,24,3,0.53,3,0.223,1.351,0.56,0.447,0
1,25,0,1.69,0,0.43,0.762,0.56,0.861,0
1,25,1,0.38,1,0.215,0.762,0.56,0.43,0
1,26,0,1.49,0,0.584,1.136,0.56,1.168,1
1,26,1,0.88,1,0.755,1.136,0.56,1.509,0
1,27,0,0.32,0,0.518,1.209,0.56,1.035,1
1,27,1,1.12,1,0.628,1.209,0.56,1.257,0
1,27,2,0.7,2,0.314,1.209,0.56,0.628,0
1,27,3,1.27,3,0.157,1.209,0.56,0.314,0
1,27,4,0.42,4,0.15,1.209,0.56,0.3,0
1,27,5,0.55,5,0.15,1.209,0.56,0.3,0
1,28,0,0.72,0,0.29,0.911,0.56,0.579,0
1,28,1,0.41,1,0.15,0.911,0.56,0.3,0
1,28,2,0.42,2,0.15,0.911,0.56,0.3,0
1,28,3,0.53,3,0.15,0.911,0.56,0.3,0
1,28,4,0.49,4,0.15,0.911,0.56,0.3,0
1,28,5,0.36,5,0.15,0.911,0.56,0.3,1
1,28,6,0.46,6,0.242,0.911,0.56,0.483,1
1,28,7,3.24,7,0.389,0.911,0.56,0.779,0
1,29,0,1.5,0,0.731,0.633,0.56,1.462,1
1,29,1,2.12,1,1.0,0.633,0.56,3.389,0
1,29,2,0.81,2,0.847,0.633,0.56,1.695,0
1,29,3,1.24,3,0.424,0.633,0.56,0.847,0
1,29,4,1.08,4,0.212,0.633,0.56,0.424,0
1,30,0,0.51,0,0.51,1.763,0.56,1.021,1
1,30,1,0.72,1,0.425,1.763,0.56,0.85,1
1,30,2,0.33,2,0.354,1.763,0.56,0.708,1
1,30,3,0.5,3,0.295,1.763,0.56,0.59,1
1,30,4,0.39,4,0.245,1.763,0.56,0.491,1
1,30,5,1.12,5,0.204,1.763,0.56,0.409,0
1,31,0,4.67,0,0.643,0.743,0.56,1.286,0
1,31,1,0.36,1,0.322,0.743,0.56,0.643,0
1,31,2,0.41,2,0.161,0.743,0.56,0.322,1
1,31,3,0.34,3,0.318,0.743,0.56,0.636,1
1,31,4,0.47,4,0.628,0.743,0.56,1.257,0
1,31,5,0.75,5,0.314,0.743,0.56,0.628,0
1,31,6,0.33,6,0.157,0.743,0.56,0.314,0
1,32,0,1.52,0,0.501,0.762,0.56,1.003,0
1,33,0,0.4,0,0.489,0.683,0.56,0.978,0
1,33,1,0.49,1,0.245,0.683,0.56,0.489,1
1,33,2,0.82,2,0.526,0.683,0.56,1.052,0
1,33,3,0.39,3,0.263,0.683,0.56,0.526,0
1,34,0,0.68,0,0.326,1.475,0.56,0.652,0
1,34,1,0.62,1,0.163,1.475,0.56,0.326,0
1,34,2,0.37,2,0.15,1.475,0.56,0.3,1
1,35,0,0.93,0,0.383,1.674,0.56,0.765,1
1,35,1,0.63,1,0.336,1.674,0.56,0.671,0
1,35,2,0.48,2,0.168,1.674,0.56,0.336,0
1,35,3,0.33,3,0.15,1.674,0.56,0.3,1
1,35,4,0.38,4,0.132,1.674,0.56,0.263,0
1,35,5,0.67,5,0.15,1.674,0.56,0.3,1
1,35,6,0.4,6,0.132,1.674,0.56,0.263,0
1,36,0,0.91,0,0.38,0.529,0.56,0.76,1
1,36,1,2.95,1,1.0,0.529,0.56,2.11,0
1,37,0,0.56,0,0.282,0.798,0.56,0.565,0
1,37,1,0.69,1,0.15,0.798,0.56,0.3,0
1,37,2,0.44,2,0.15,0.798,0.56,0.3,0
1,37,3,0.44,3,0.15,0.798,0.56,0.3,0
1,37,4,0.41,4,0.15,0.798,0.56,0.3,0
1,37,5,0.95,5,0.15,0.798,0.56,0.3,0
